iShares Core S&P 500 ETF
Fund Holdings as of,"Oct 16, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,048,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","54,502,716,176.49","7.83","54,502,716,176.49","299,778,429.00","181.81","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","46,721,906,862.07","6.71","46,721,906,862.07","91,323,287.00","511.61","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","45,117,085,870.50","6.48","45,117,085,870.50","182,328,090.00","247.45","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","25,572,542,989.77","3.67","25,572,542,989.77","119,235,991.00","214.47","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","20,465,047,539.45","2.94","20,465,047,539.45","57,786,383.00","354.15","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","18,975,475,631.03","2.73","18,975,475,631.03","26,648,329.00","712.07","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","17,971,347,303.36","2.58","17,971,347,303.36","71,468,016.00","251.46","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","14,781,746,638.75","2.12","14,781,746,638.75","34,476,377.00","428.75","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","14,451,257,078.52","2.08","14,451,257,078.52","57,373,579.00","251.88","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,012,390,224.99","1.58","11,012,390,224.99","22,528,979.00","488.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","10,085,770,871.00","1.45","10,085,770,871.00","33,783,650.00","298.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","8,003,685,813.64","1.15","8,003,685,813.64","9,767,978.00","819.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","6,999,755,739.60","1.01","6,999,755,739.60","20,869,874.00","335.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","6,372,902,543.00","0.92","6,372,902,543.00","20,360,711.00","313.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","6,179,199,086.34","0.89","6,179,199,086.34","5,220,726.00","1,183.59","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","5,795,064,302.40","0.83","5,795,064,302.40","52,377,660.00","110.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","5,741,471,834.28","0.82","5,741,471,834.28","53,925,724.00","106.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","5,684,645,212.08","0.82","5,684,645,212.08","29,589,034.00","192.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","5,577,154,050.84","0.80","5,577,154,050.84","10,142,493.00","549.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","5,043,521,958.48","0.72","5,043,521,958.48","5,448,804.00","925.62","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","4,976,889,037.68","0.71","4,976,889,037.68","27,941,214.00","178.12","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","4,924,003,268.38","0.71","4,924,003,268.38","21,704,074.00","226.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","4,735,404,999.30","0.68","4,735,404,999.30","12,223,870.00","387.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","4,676,805,991.04","0.67","4,676,805,991.04","19,938,634.00","234.56","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","4,305,207,051.20","0.62","4,305,207,051.20","28,778,122.00","149.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","4,222,918,159.72","0.61","4,222,918,159.72","83,721,613.00","50.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","3,968,896,072.14","0.57","3,968,896,072.14","11,127,642.00","356.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","3,906,399,775.04","0.56","3,906,399,775.04","13,028,281.00","299.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","3,587,106,488.16","0.52","3,587,106,488.16","23,644,496.00","151.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","3,361,416,977.52","0.48","3,361,416,977.52","48,652,728.00","69.09","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,306,065,028.00","0.47","3,306,065,028.00","39,357,917.00","84.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","3,216,425,944.95","0.46","3,216,425,944.95","47,587,305.00","67.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3,158,477,753.88","0.45","3,158,477,753.88","11,445,004.00","275.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","3,113,330,828.16","0.45","3,113,330,828.16","5,755,196.00","540.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","2,983,023,756.02","0.43","2,983,023,756.02","19,124,399.00","155.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","2,889,359,544.00","0.42","2,889,359,544.00","11,745,364.00","246.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","2,819,199,495.71","0.40","2,819,199,495.71","3,718,819.00","758.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","2,784,797,221.44","0.40","2,784,797,221.44","13,750,048.00","202.53","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","2,729,210,692.73","0.39","2,729,210,692.73","21,383,771.00","127.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,676,915,739.71","0.38","2,676,915,739.71","8,767,287.00","305.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","2,582,711,435.70","0.37","2,582,711,435.70","16,445,154.00","157.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","2,575,291,811.04","0.37","2,575,291,811.04","30,687,462.00","83.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,567,977,032.81","0.37","2,567,977,032.81","16,820,443.00","152.67","United States","NASDAQ","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","2,559,442,559.04","0.37","2,559,442,559.04","5,761,396.00","444.24","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,490,167,509.52","0.36","2,490,167,509.52","4,639,084.00","536.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,427,150,088.24","0.35","2,427,150,088.24","22,089,098.00","109.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","2,385,241,797.96","0.34","2,385,241,797.96","14,905,898.00","160.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","2,370,533,376.96","0.34","2,370,533,376.96","25,621,848.00","92.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","2,301,665,729.40","0.33","2,301,665,729.40","87,849,837.00","26.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","2,286,020,363.81","0.33","2,286,020,363.81","2,555,669.00","894.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","2,245,170,498.84","0.32","2,245,170,498.84","9,859,347.00","227.72","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","2,217,004,401.56","0.32","2,217,004,401.56","3,426,644.00","646.99","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","2,213,697,747.22","0.32","2,213,697,747.22","15,548,906.00","142.37","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","2,177,088,355.00","0.31","2,177,088,355.00","22,616,750.00","96.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","2,174,218,173.12","0.31","2,174,218,173.12","13,250,964.00","164.08","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,154,797,775.76","0.31","2,154,797,775.76","6,668,723.00","323.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","2,151,766,956.15","0.31","2,151,766,956.15","25,300,023.00","85.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,090,719,316.12","0.30","2,090,719,316.12","51,801,767.00","40.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","2,072,024,560.80","0.30","2,072,024,560.80","1,768,905.00","1,171.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","2,014,827,832.40","0.29","2,014,827,832.40","3,326,555.00","605.68","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","2,013,070,542.00","0.29","2,013,070,542.00","3,343,971.00","602.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,981,095,572.28","0.28","1,981,095,572.28","53,775,667.00","36.84","United States","NASDAQ","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","1,972,039,555.86","0.28","1,972,039,555.86","398,206.00","4,952.31","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","1,968,498,782.88","0.28","1,968,498,782.88","9,290,192.00","211.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,960,138,623.92","0.28","1,960,138,623.92","11,170,154.00","175.48","United States","NASDAQ","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","1,958,263,586.75","0.28","1,958,263,586.75","20,964,175.00","93.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,956,443,855.93","0.28","1,956,443,855.93","6,613,853.00","295.81","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","1,953,933,420.20","0.28","1,953,933,420.20","13,707,004.00","142.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","1,914,172,961.90","0.27","1,914,172,961.90","4,404,245.00","434.62","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","1,910,393,249.92","0.27","1,910,393,249.92","14,999,947.00","127.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","1,848,866,226.00","0.27","1,848,866,226.00","12,662,600.00","146.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1,812,337,788.60","0.26","1,812,337,788.60","3,839,292.00","472.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","1,796,586,716.50","0.26","1,796,586,716.50","15,244,690.00","117.85","United States","NASDAQ","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","1,796,397,392.12","0.26","1,796,397,392.12","4,782,868.00","375.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,790,842,262.36","0.26","1,790,842,262.36","7,652,518.00","234.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","1,781,049,315.20","0.26","1,781,049,315.20","1,620,904.00","1,098.80","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","1,780,061,335.02","0.26","1,780,061,335.02","18,204,759.00","97.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,715,654,074.53","0.25","1,715,654,074.53","5,211,111.00","329.23","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,692,539,159.20","0.24","1,692,539,159.20","69,853,040.00","24.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","1,686,396,975.12","0.24","1,686,396,975.12","8,205,912.00","205.51","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,673,782,396.00","0.24","1,673,782,396.00","6,885,160.00","243.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,651,354,901.40","0.24","1,651,354,901.40","7,829,295.00","210.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,632,263,359.56","0.23","1,632,263,359.56","7,285,589.00","224.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","1,596,894,536.22","0.23","1,596,894,536.22","7,201,653.00","221.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,596,219,230.45","0.23","1,596,219,230.45","7,857,343.00","203.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,584,812,144.08","0.23","1,584,812,144.08","7,800,424.00","203.17","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","1,561,132,135.50","0.22","1,561,132,135.50","4,227,846.00","369.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,521,963,032.12","0.22","1,521,963,032.12","3,838,204.00","396.53","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,496,130,989.76","0.21","1,496,130,989.76","15,742,119.00","95.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","1,476,705,924.12","0.21","1,476,705,924.12","3,062,244.00","482.23","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","1,473,157,055.72","0.21","1,473,157,055.72","6,097,252.00","241.61","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","1,430,600,331.44","0.21","1,430,600,331.44","9,056,152.00","157.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","1,414,914,314.44","0.20","1,414,914,314.44","3,095,009.00","457.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
