As-Of-Date,Symbol,Quantity,Percent of Assets,Name,BBG FIGI,Country,Currency,Exchange,Exchange (fx) Rate,Market Currency,Sector
2025-10-17,ABBV,13438003.0000000000,4.4145720413,ABBVIE INC,BBG003P7K0B5,US,USD,XNYS,1.0000000000,USD,Health Care
2025-10-17,AMGN,10029831.0000000000,4.2961929503,AMGEN INC,BBG000BBSCX9,US,USD,XNGS,1.0000000000,USD,Health Care
2025-10-17,PEP,19153429.0000000000,4.2342569532,PEPSICO INC,BBG000DH7TN1,US,USD,XNGS,1.0000000000,USD,Consumer Staples
2025-10-17,CSCO,42071146.0000000000,4.2089783393,CISCO SYSTEMS INC,BBG000C3JBN9,US,USD,XNGS,1.0000000000,USD,Information Technology
2025-10-17,LMT,5878556.0000000000,4.1986998382,LOCKHEED MARTIN CORP,BBG000C1BXJ8,US,USD,XNYS,1.0000000000,USD,Industrials
2025-10-17,MRK,33819925.0000000000,4.1097476452,MERCK & CO INC,BBG000BPD257,US,USD,XNYS,1.0000000000,USD,Health Care
2025-10-17,KO,41266150.0000000000,4.0388124933,COCA-COLA,BBG000BMX4N8,US,USD,XNYS,1.0000000000,USD,Consumer Staples
2025-10-17,MO,42727806.0000000000,3.9758370132,ALTRIA GROUP INC,BBG000BP6MW1,US,USD,XNYS,1.0000000000,USD,Consumer Staples
2025-10-17,CVX,18011947.0000000000,3.9568700892,CHEVRON CORP,BBG000K4NHJ5,US,USD,XNYS,1.0000000000,USD,Energy
2025-10-17,HD,6982861.0000000000,3.9170444144,HOME DEPOT INC,BBG000BKZDM1,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2025-10-17,VZ,65088101.0000000000,3.8039078377,VERIZON COMMUNICATIONS INC,BBG000HS79Q4,US,USD,XNYS,1.0000000000,USD,Communication Services
2025-10-17,COP,30078855.0000000000,3.7853675212,CONOCOPHILLIPS,BBG000BQQJR0,US,USD,XNYS,1.0000000000,USD,Energy
2025-10-17,TXN,14544741.0000000000,3.6958149785,TEXAS INSTRUMENT INC,BBG000BVVPD4,US,USD,XNGS,1.0000000000,USD,Information Technology
2025-10-17,BMY,58240038.0000000000,3.6592212862,BRISTOL MYERS SQUIBB,BBG000DQLWT2,US,USD,XNYS,1.0000000000,USD,Health Care
2025-10-17,UPS,21060490.0000000000,2.6116940372,UNITED PARCEL SERVICE INC CLASS B,BBG000L9CXY3,US,USD,XNYS,1.0000000000,USD,Industrials
2025-10-17,EOG,15622652.0000000000,2.4262128894,EOG RESOURCES INC,BBG000BZ9367,US,USD,XNYS,1.0000000000,USD,Energy
2025-10-17,SLB,42689510.0000000000,2.0349708021,SLB NV,BBG000BT4384,US,USD,XNYS,1.0000000000,USD,Energy
2025-10-17,VLO,8888783.0000000000,2.0129293764,VALERO ENERGY CORP,BBG000BBGKP3,US,USD,XNYS,1.0000000000,USD,Energy
2025-10-17,FAST,32837403.0000000000,1.9951779556,FASTENAL,BBG000BJ96W7,US,USD,XNGS,1.0000000000,USD,Industrials
2025-10-17,F,111848680.0000000000,1.9014120601,FORD MOTOR,BBG000BQPFG1,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2025-10-17,OKE,18019419.0000000000,1.7539456104,ONEOK INC,BBG000BQHJ81,US,USD,XNYS,1.0000000000,USD,Energy
2025-10-17,PAYX,9277025.0000000000,1.6991885834,PAYCHEX INC,BBG000BQT1J5,US,USD,XNGS,1.0000000000,USD,Industrials
2025-10-17,TGT,13000820.0000000000,1.6956181891,TARGET CORP,BBG000H8TYR8,US,USD,XNYS,1.0000000000,USD,Consumer Staples
2025-10-17,KMB,9493390.0000000000,1.6454774992,KIMBERLY CLARK CORP,BBG000BMW672,US,USD,XNGS,1.0000000000,USD,Consumer Staples
2025-10-17,ADM,13747653.0000000000,1.2521491346,ARCHER DANIELS MIDLAND,BBG000BB7059,US,USD,XNYS,1.0000000000,USD,Consumer Staples
2025-10-17,HSY,4238037.0000000000,1.1463504451,HERSHEY FOODS,BBG000BLHVZ5,US,USD,XNYS,1.0000000000,USD,Consumer Staples
2025-10-17,FITB,18938692.0000000000,1.1068230228,FIFTH THIRD BANCORP,BBG000BJLCJ5,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,GIS,15299078.0000000000,1.0569432874,GENERAL MILLS INC,BBG000BKCHJ1,US,USD,XNYS,1.0000000000,USD,Consumer Staples
2025-10-17,CINF,4474414.0000000000,0.9808676365,CINCINNATI FINANCIAL CORP,BBG000BFPVV3,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,TROW,6286781.0000000000,0.9390201769,T ROWE PRICE GROUP INC,BBG000BVMYQ1,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,DRI,3348804.0000000000,0.9089729244,DARDEN RESTAURANTS INC,BBG000BBP059,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2025-10-17,RF,25531781.0000000000,0.8632670609,REGIONS FINANCIAL CORP,BBG000Q3JQJ6,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,AMCR,65962909.0000000000,0.7775019078,AMCOR PLC,BBG00LNJRTX7,GB,USD,XNYS,1.0000000000,USD,Materials
2025-10-17,HAL,24395640.0000000000,0.7708041857,HALLIBURTON,BBG000BKTJ63,US,USD,XNYS,1.0000000000,USD,Energy
