Holdings details

S&P 500 ETF (VOO)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2379504,NVIDIA Corp,NVDA,7.94%,Semiconductors,US,---,"$112,186,263,592.90","601,277,005"
,2588173,Microsoft Corp,MSFT,6.72%,Systems Software,US,---,"$94,874,298,929.10","183,172,698"
,2046251,Apple Inc,AAPL,6.59%,"Technology Hardware, Storage & Peripherals",US,---,"$93,118,089,148.00","365,699,600"
,2000019,Amazon.com Inc,AMZN,3.72%,Broadline Retail,US,---,"$52,511,793,831.12","239,157,416"
,B7TL820,Meta Platforms Inc,META,2.78%,Interactive Media & Services,US,---,"$39,251,265,615.84","53,448,168"
,BDZ78H9,Broadcom Inc,AVGO,2.71%,Semiconductors,US,---,"$38,238,640,174.98","115,906,278"
,BYVY8G0,Alphabet Inc,GOOGL,2.47%,Interactive Media & Services,US,---,"$34,847,171,687.90","143,345,009"
,B616C79,Tesla Inc,TSLA,2.18%,Automobile Manufacturers,US,---,"$30,752,225,677.20","69,149,635"
,BYY88Y7,Alphabet Inc,GOOG,1.98%,Interactive Media & Services,US,---,"$28,025,952,918.85","115,072,687"
,2073390,Berkshire Hathaway Inc,BRK/B,1.61%,Multi-Sector Holdings,US,---,"$22,717,262,608.74","45,186,901"
,2190385,JPMorgan Chase & Co,JPM,1.46%,Diversified Banks,US,---,"$20,615,479,967.93","65,356,751"
,2516152,Eli Lilly & Co,LLY,1.06%,Pharmaceuticals,US,---,"$14,949,249,938.00","19,592,726"
,B2PZN04,Visa Inc,V,0.99%,Transaction & Payment Processing Services,US,---,"$13,948,367,926.74","40,858,773"
,2857817,Netflix Inc,NFLX,0.89%,Movies & Entertainment,US,---,"$12,555,331,222.92","10,472,201"
,2326618,Exxon Mobil Corp,XOM,0.84%,Integrated Oil & Gas,US,---,"$11,844,305,643.50","105,049,274"
,B121557,Mastercard Inc,MA,0.82%,Transaction & Payment Processing Services,US,---,"$11,572,314,311.80","20,344,780"
,2661568,Oracle Corp,ORCL,0.81%,Systems Software,US,---,"$11,486,753,380.08","40,843,242"
,2936921,Walmart Inc,WMT,0.79%,Consumer Staples Merchandise Retail,US,---,"$11,148,163,343.98","108,171,583"
,2475833,Johnson & Johnson,JNJ,0.78%,Pharmaceuticals,US,---,"$11,004,421,676.66","59,348,623"
,BN78DQ4,Palantir Technologies Inc,PLTR,0.72%,Application Software,US,---,"$10,223,491,571.58","56,043,699"
,2701271,Costco Wholesale Corp,COST,0.72%,Consumer Staples Merchandise Retail,US,---,"$10,116,513,876.64","10,929,328"
,B92SR70,AbbVie Inc,ABBV,0.71%,Biotechnology,US,---,"$10,079,357,371.26","43,531,819"
,2434209,Home Depot Inc/The,HD,0.70%,Home Improvement Retail,US,---,"$9,934,246,635.38","24,517,502"
,2704407,Procter & Gamble Co/The,PG,0.63%,Household Products,US,---,"$8,868,776,182.35","57,720,639"
,2295677,Bank of America Corp,BAC,0.56%,Diversified Banks,US,---,"$7,881,087,176.27","152,763,853"
,BL59CR9,General Electric Co,GE,0.56%,Aerospace & Defense,US,---,"$7,860,332,744.16","26,129,688"
,2917766,UnitedHealth Group Inc,UNH,0.55%,Managed Health Care,US,---,"$7,706,165,761.80","22,317,306"
,2838555,Chevron Corp,CVX,0.52%,Integrated Oil & Gas,US,---,"$7,364,971,906.77","47,427,213"
,2198163,Cisco Systems Inc,CSCO,0.47%,Communications Equipment,US,---,"$6,676,551,887.50","97,581,875"
,2649100,Wells Fargo & Co,WFC,0.47%,Diversified Banks,US,---,"$6,616,064,230.38","78,931,809"
,2005973,International Business Machines Corp,IBM,0.46%,IT Consulting & Other Services,US,---,"$6,476,869,089.52","22,954,597"
,2007849,Advanced Micro Devices Inc,AMD,0.46%,Semiconductors,US,---,"$6,470,135,476.92","39,990,948"
,2206657,Coca-Cola Co/The,KO,0.45%,Soft Drinks & Non-alcoholic Beverages,US,---,"$6,330,061,155.76","95,447,243"
,B2PKRQ3,Philip Morris International Inc,PM,0.44%,Tobacco,US,---,"$6,221,786,979.20","38,358,736"
,2002305,Abbott Laboratories,ABT,0.41%,Health Care Equipment,US,---,"$5,744,484,752.42","42,888,493"
,2407966,Goldman Sachs Group Inc/The,GS,0.40%,Investment Banking & Brokerage,US,---,"$5,609,604,074.40","7,044,144"
,2310525,Salesforce Inc,CRM,0.40%,Application Software,US,---,"$5,583,345,540.00","23,558,420"
,BM5M5Y3,RTX Corp,RTX,0.39%,Aerospace & Defense,US,---,"$5,519,565,284.31","32,986,107"
,2180201,Caterpillar Inc,CAT,0.39%,Construction Machinery & Heavy Transportation Equipment,US,---,"$5,508,531,656.10","11,544,654"
,BNZHB81,Linde PLC,LIN,0.39%,Industrial Gases,US,---,"$5,488,939,925.00","11,555,663"
,2550707,McDonald's Corp,MCD,0.38%,Restaurants,US,---,"$5,343,858,850.94","17,584,846"
,2778844,Merck & Co Inc,MRK,0.37%,Pharmaceuticals,US,---,"$5,165,748,231.49","61,548,293"
,2270726,Walt Disney Co/The,DIS,0.36%,Movies & Entertainment,US,---,"$5,073,007,230.00","44,305,740"
,BK6N347,Uber Technologies Inc,UBER,0.36%,Passenger Ground Transportation,US,---,"$5,034,478,441.20","51,387,960"
,2831811,AT&T Inc,T,0.35%,Integrated Telecommunication Services,US,---,"$4,975,804,494.32","176,197,043"
,BMV3LG4,AppLovin Corp,APP,0.34%,Application Software,US,---,"$4,791,977,031.38","6,669,047"
,2262314,Morgan Stanley,MS,0.34%,Investment Banking & Brokerage,US,---,"$4,751,669,834.56","29,892,236"
,2681511,PepsiCo Inc,PEP,0.34%,Soft Drinks & Non-alcoholic Beverages,US,---,"$4,737,938,190.28","33,736,387"
,B80NXX8,ServiceNow Inc,NOW,0.33%,Systems Software,US,---,"$4,717,222,759.68","5,125,856"
,2459020,Intuit Inc,INTU,0.33%,Application Software,US,---,"$4,694,263,926.83","6,873,913"
,2588184,Micron Technology Inc,MU,0.33%,Semiconductors,US,---,"$4,614,467,247.40","27,578,695"
,2090571,Verizon Communications Inc,VZ,0.32%,Integrated Telecommunication Services,US,---,"$4,566,456,421.50","103,901,170"
,2886907,Thermo Fisher Scientific Inc,TMO,0.32%,Life Sciences Tools & Services,US,---,"$4,512,997,605.32","9,304,766"
,2026082,American Express Co,AXP,0.31%,Consumer Finance,US,---,"$4,442,390,880.00","13,374,250"
,2714923,QUALCOMM Inc,QCOM,0.31%,Semiconductors,US,---,"$4,421,099,847.28","26,575,498"
,BDRXDB4,Booking Holdings Inc,BKNG,0.30%,"Hotels, Resorts & Cruise Lines",US,---,"$4,307,893,957.82","797,866"
,BSML4N7,Lam Research Corp,LRCX,0.30%,Semiconductor Materials & Equipment,US,---,"$4,175,758,535.00","31,185,650"
,2297907,Citigroup Inc,C,0.29%,Diversified Banks,US,---,"$4,142,137,454.00","40,809,236"
,BMZBBT7,Blackrock Inc,BLK,0.29%,Asset Management & Custody Banks,US,---,"$4,136,912,482.76","3,548,348"
,BP6H4Y1,GE Vernova Inc,GEV,0.29%,Heavy Electrical Equipment,US,---,"$4,125,242,349.80","6,708,802"
,2885409,Texas Instruments Inc,TXN,0.29%,Semiconductors,US,---,"$4,116,110,355.47","22,403,039"
,2046552,Applied Materials Inc,AMAT,0.29%,Semiconductor Materials & Equipment,US,---,"$4,048,543,296.54","19,774,071"
,2108601,Boeing Co/The,BA,0.28%,Aerospace & Defense,US,---,"$4,021,578,303.89","18,633,083"
,2779397,Charles Schwab Corp/The,SCHW,0.28%,Investment Banking & Brokerage,US,---,"$4,014,373,731.92","42,048,536"
,2989301,TJX Cos Inc/The,TJX,0.28%,Apparel Retail,US,---,"$3,973,747,737.96","27,492,374"
,2871301,Intuitive Surgical Inc,ISRG,0.28%,Health Care Equipment,US,---,"$3,950,247,973.77","8,832,699"
,2328915,NextEra Energy Inc,NEE,0.27%,Electric Utilities,US,---,"$3,830,911,865.24","50,747,276"
,B4BNMY3,Accenture PLC,ACN,0.27%,IT Consulting & Other Services,US,---,"$3,784,609,409.40","15,347,159"
,BYV2325,S&P Global Inc,SPGI,0.27%,Financial Exchanges & Data,US,---,"$3,748,083,623.76","7,700,856"
,2023607,Amgen Inc,AMGN,0.27%,Biotechnology,US,---,"$3,743,740,547.40","13,266,267"
,2145084,Amphenol Corp,APH,0.26%,Electronic Components,US,---,"$3,723,313,275.00","30,087,380"
,BL9XPM3,Arista Networks Inc,ANET,0.26%,Communications Equipment,US,---,"$3,700,736,168.76","25,397,956"
,2008154,Adobe Inc,ADBE,0.26%,Application Software,US,---,"$3,687,559,959.75","10,453,749"
,2463247,Intel Corp,INTC,0.26%,Semiconductors,US,---,"$3,618,749,533.85","107,861,387"
,B8KQN82,Eaton Corp PLC,ETN,0.25%,Electrical Components & Equipment,US,---,"$3,589,991,253.75","9,592,495"
,2684703,Pfizer Inc,PFE,0.25%,Pharmaceuticals,US,---,"$3,569,895,758.52","140,105,799"
,2705024,Progressive Corp/The,PGR,0.25%,Property & Casualty Insurance,US,---,"$3,567,214,728.55","14,445,089"
,2113434,Boston Scientific Corp,BSX,0.25%,Health Care Equipment,US,---,"$3,564,868,946.99","36,514,073"
,2480138,KLA Corp,KLAC,0.25%,Semiconductor Materials & Equipment,US,---,"$3,506,183,448.00","3,250,680"
,2536763,Lowe's Cos Inc,LOW,0.25%,Home Improvement Retail,US,---,"$3,470,627,791.26","13,810,146"
,2914734,Union Pacific Corp,UNP,0.24%,Rail Transportation,US,---,"$3,453,939,606.36","14,612,428"
,2369174,Gilead Sciences Inc,GILD,0.24%,Biotechnology,US,---,"$3,393,952,317.00","30,576,147"
,B87ZMX0,Palo Alto Networks Inc,PANW,0.24%,Systems Software,US,---,"$3,351,659,928.54","16,460,367"
,2654461,Capital One Financial Corp,COF,0.24%,Consumer Finance,US,---,"$3,350,133,252.00","15,759,400"
,2020459,Honeywell International Inc,HON,0.23%,Industrial Conglomerates,US,---,"$3,293,075,261.50","15,644,063"
,2853688,Stryker Corp,SYK,0.22%,Health Care Equipment,US,---,"$3,134,127,691.59","8,478,177"
,2250870,Danaher Corp,DHR,0.22%,Life Sciences Tools & Services,US,---,"$3,113,429,440.20","15,703,770"
,BKF2SL7,Blackstone Inc,BX,0.22%,Asset Management & Custody Banks,US,---,"$3,103,601,815.05","18,165,653"
,BJJP138,Crowdstrike Holdings Inc,CRWD,0.21%,Systems Software,US,---,"$3,012,212,601.42","6,142,609"
,BTN1Y11,Medtronic PLC,MDT,0.21%,Health Care Equipment,US,---,"$3,007,059,663.80","31,573,495"
,2032067,Analog Devices Inc,ADI,0.21%,Semiconductors,US,---,"$3,004,452,032.40","12,228,132"
,BYVYHH4,Welltower Inc,WELL,0.21%,Health Care REITs,US,---,"$2,937,378,962.40","16,489,160"
,2065308,Automatic Data Processing Inc,ADP,0.21%,Human Resource & Employment Services,US,---,"$2,929,468,992.50","9,981,155"
,2685717,ConocoPhillips,COP,0.21%,Oil & Gas Exploration & Production,US,---,"$2,911,046,883.21","30,775,419"
,B94Q9V0,T-Mobile US Inc,TMUS,0.20%,Wireless Telecommunication Services,US,---,"$2,855,098,186.52","11,927,054"
,2044545,Comcast Corp,CMCSA,0.20%,Cable & Satellite,US,---,"$2,851,242,116.38","90,746,089"
,2261203,Deere & Co,DE,0.20%,Agricultural & Farm Machinery,US,---,"$2,837,938,464.00","6,206,400"
,2692632,Altria Group Inc,MO,0.19%,Tobacco,US,---,"$2,734,668,512.28","41,396,738"
,BP0TQN6,Robinhood Markets Inc,HOOD,0.19%,Investment Banking & Brokerage,US,---,"$2,730,117,724.58","19,067,731"
,B44WZD7,Prologis Inc,PLD,0.19%,Industrial REITs,US,---,"$2,619,038,960.16","22,869,708"
,B3BQMF6,Chubb Ltd,CB,0.18%,Property & Casualty Insurance,US,---,"$2,578,688,216.25","9,136,185"
,2829601,Southern Co/The,SO,0.18%,Electric Utilities,US,---,"$2,569,048,757.73","27,108,249"
,BMH4FS1,Constellation Energy Corp,CEG,0.18%,Electric Utilities,US,---,"$2,533,341,775.23","7,698,489"
,2522096,Lockheed Martin Corp,LMT,0.18%,Aerospace & Defense,US,---,"$2,527,660,476.41","5,063,321"
